,0
0,471.54010345562034
1,446.93731690553193
2,455.8452736736791
3,458.3238459787516
4,446.1607691611696
5,448.2613512790705
6,449.1415373340127
7,454.641002069063
8,449.15746482525384
9,447.38052057001113
10,521.0737330584703
11,507.5022071578204
12,463.6822719794686
13,450.9708080614647
14,468.1524821366089
15,499.28572452280554
16,553.7093889938911
17,541.7701818364277
18,469.5103807458345
19,500.36086824707814
20,524.5767439708418
21,622.2551506860407
22,531.3199279911721
23,512.984849861774
24,656.0978031151449
25,511.8895978665624
26,488.714998546893
27,556.4802850772492
28,483.96461403939475
29,478.991441043877
